WKT,ID
"MULTIPOLYGON (((-1.12193155 50.80747806,-1.12193047 50.80747720,-1.12192972 50.80747701,-1.12192893 50.80747638,-1.12192881 50.80747588,-1.12192802 50.80747525,-1.12192727 50.80747506,-1.12192648 50.80747443,-1.12192636 50.80747393,-1.12192556 50.80747330,-1.12192481 50.80747311,-1.12192402 50.80747248,-1.12192390 50.80747197,-1.12192311 50.80747134,-1.12192236 50.80747116,-1.12192157 50.80747053,-1.12192145 50.80747002,-1.12192066 50.80746939,-1.12191991 50.80746921,-1.12191912 50.80746858,-1.12191900 50.80746807,-1.12191821 50.80746744,-1.12191746 50.80746725,-1.12191667 50.80746662,-1.12191655 50.80746612,-1.12191576 50.80746549,-1.12191501 50.80746530,-1.12191421 50.80746467,-1.12191410 50.80746417,-1.12191330 50.80746354,-1.12191255 50.80746335,-1.12191176 50.80746272,-1.12191164 50.80746222,-1.12191023 50.80746109,-1.12190885 50.80746178,-1.12190855 50.80746226,-1.12190756 50.80746276,-1.12190676 50.80746284,-1.12190577 50.80746334,-1.12190547 50.80746381,-1.12190448 50.80746431,-1.12190368 50.80746439,-1.12190269 50.80746489,-1.12190239 50.80746537,-1.12190140 50.80746587,-1.12190060 50.80746594,-1.12189961 50.80746644,-1.12189931 50.80746692,-1.12189832 50.80746742,-1.12189752 50.80746750,-1.12189653 50.80746800,-1.12189623 50.80746847,-1.12189524 50.80746897,-1.12189444 50.80746905,-1.12189345 50.80746955,-1.12189315 50.80747003,-1.12189216 50.80747053,-1.12189136 50.80747060,-1.12189037 50.80747111,-1.12189007 50.80747158,-1.12188908 50.80747208,-1.12188828 50.80747216,-1.12188729 50.80747266,-1.12188699 50.80747313,-1.12188600 50.80747364,-1.12188520 50.80747371,-1.12188421 50.80747421,-1.12188391 50.80747469,-1.12188292 50.80747519,-1.12188212 50.80747526,-1.12188112 50.80747577,-1.12188083 50.80747624,-1.12187984 50.80747674,-1.12187904 50.80747682,-1.12187722 50.80747774,-1.12188567 50.80748498,-1.12188720 50.80748519,-1.12188760 50.80748550,-1.12188773 50.80748600,-1.12188854 50.80748663,-1.12188929 50.80748681,-1.12189010 50.80748743,-1.12189023 50.80748793,-1.12189103 50.80748855,-1.12189179 50.80748873,-1.12189259 50.80748936,-1.12189272 50.80748986,-1.12189353 50.80749048,-1.12189428 50.80749066,-1.12189509 50.80749129,-1.12189522 50.80749179,-1.12189603 50.80749241,-1.12189678 50.80749259,-1.12189759 50.80749321,-1.12189772 50.80749372,-1.12189882 50.80749457,-1.12190038 50.80749379,-1.12190068 50.80749331,-1.12190167 50.80749281,-1.12190247 50.80749273,-1.12190346 50.80749223,-1.12190376 50.80749176,-1.12190475 50.80749126,-1.12190555 50.80749118,-1.12190654 50.80749068,-1.12190684 50.80749020,-1.12190783 50.80748970,-1.12190863 50.80748963,-1.12190962 50.80748912,-1.12190992 50.80748865,-1.12191091 50.80748815,-1.12191171 50.80748807,-1.12191270 50.80748757,-1.12191300 50.80748710,-1.12191399 50.80748659,-1.12191479 50.80748652,-1.12191578 50.80748602,-1.12191608 50.80748554,-1.12191707 50.80748504,-1.12191787 50.80748496,-1.12191886 50.80748446,-1.12191916 50.80748399,-1.12192015 50.80748349,-1.12192095 50.80748341,-1.12192194 50.80748291,-1.12192224 50.80748243,-1.12192323 50.80748193,-1.12192403 50.80748186,-1.12192502 50.80748136,-1.12192532 50.80748088,-1.12192631 50.80748038,-1.12192711 50.80748030,-1.12192810 50.80747980,-1.12192840 50.80747933,-1.12192939 50.80747883,-1.12193019 50.80747875,-1.12193155 50.80747806)))",BLD-R0004
"MULTIPOLYGON (((-1.12192051 50.80743725,-1.12190037 50.80742091,-1.12192323 50.80740957,-1.12194276 50.80742582,-1.12192051 50.80743725,-1.12192051 50.80743725)))",BLD-R0006
"MULTIPOLYGON (((-1.12223208 50.80749040,-1.12220702 50.80750272,-1.12221109 50.80750609,-1.12220085 50.80751106,-1.12221788 50.80752507,-1.12221636 50.80752584,-1.12221889 50.80752785,-1.12222256 50.80752599,-1.12222245 50.80752590,-1.12222987 50.80752239,-1.12223004 50.80752254,-1.12223059 50.80752228,-1.12224177 50.80753145,-1.12226693 50.80751901,-1.12223208 50.80749040,-1.12223208 50.80749040)))",BLD-R0008
"MULTIPOLYGON (((-1.12218856 50.80751175,-1.12215743 50.80752722,-1.12218984 50.80755332,-1.12222098 50.80753794,-1.12218856 50.80751175,-1.12218856 50.80751175)))",BLD-R0007
"MULTIPOLYGON (((-1.10946706 50.87614389,-1.10942037 50.87618010,-1.10960285 50.87627458,-1.10964958 50.87623830,-1.10946706 50.87614389,-1.10946706 50.87614389)))",BLD-SCC01
"MULTIPOLYGON (((-1.17043852 50.80927568,-1.17039639 50.80927820,-1.17038955 50.80923313,-1.17043156 50.80923066,-1.17043852 50.80927568,-1.17043852 50.80927568)))",BLD-RCC02
"MULTIPOLYGON (((-1.17050664 50.80937385,-1.17050885 50.80938852,-1.17064795 50.80938012,-1.17064574 50.80936543,-1.17060756 50.80911187,-1.17046847 50.80912015,-1.17050664 50.80937385)))",BLD-RCC01
"MULTIPOLYGON (((-1.07966390 50.82948795,-1.07965389 50.82950380,-1.07966390 50.82948795)))",BLD-HCC01
"MULTIPOLYGON (((-1.07966390 50.82948795,-1.07965258 50.82948517,-1.07964270 50.82950087,-1.07965389 50.82950380,-1.07966390 50.82948795)))",BLD-HCC01
"MULTIPOLYGON (((-1.07976051 50.82973208,-1.07972705 50.82978461,-1.07967827 50.82977191,-1.07971166 50.82971962,-1.07976051 50.82973208,-1.07976051 50.82973208)))",BLD-HCC03
