WKT,ID
"MULTIPOLYGON (((-1.10467737 50.80237471,-1.10476337 50.80236074,-1.10475871 50.80234811,-1.10477471 50.80234555,-1.10476971 50.80233210,-1.10475351 50.80233461,-1.10473373 50.80228328,-1.10474941 50.80228076,-1.10474433 50.80226745,-1.10472881 50.80226992,-1.10471263 50.80222901,-1.10471334 50.80222865,-1.10471014 50.80222554,-1.10470961 50.80222580,-1.10465583 50.80218141,-1.10458242 50.80221751,-1.10463524 50.80226041,-1.10455479 50.80227058,-1.10456321 50.80234123,-1.10456129 50.80234133,-1.10456222 50.80234911,-1.10456414 50.80234901,-1.10456933 50.80239252,-1.10460715 50.80238633,-1.10459951 50.80232082,-1.10462538 50.80231810,-1.10464806 50.80237963,-1.10467737 50.80237471,-1.10467737 50.80237471)))",BLD-1121
"MULTIPOLYGON (((-1.09513669 50.80748269,-1.09508316 50.80748268,-1.09508285 50.80736293,-1.09513607 50.80736287,-1.09513669 50.80748269)))",BLD-3323
"MULTIPOLYGON (((-1.10376285 50.80186331,-1.10373176 50.80187213,-1.10370858 50.80183929,-1.10373967 50.80183048,-1.10376285 50.80186331)))",BLD-2002
"MULTIPOLYGON (((-1.10871314 50.80028442,-1.10873888 50.80025390,-1.10882336 50.80023695,-1.10887055 50.80025258,-1.10888793 50.80028475,-1.10886327 50.80031570,-1.10877845 50.80033273,-1.10873060 50.80031671,-1.10871314 50.80028442)))",BLD-1101
"MULTIPOLYGON (((-1.10571576 50.80129762,-1.10570702 50.80129936,-1.10570776 50.80129999,-1.10570580 50.80130076,-1.10564279 50.80131302,-1.10564187 50.80131204,-1.10552950 50.80133433,-1.10536898 50.80136617,-1.10518608 50.80140245,-1.10518638 50.80140285,-1.10518377 50.80140338,-1.10512270 50.80141576,-1.10511789 50.80141586,-1.10495438 50.80144801,-1.10494555 50.80143059,-1.10470436 50.80147838,-1.10469705 50.80148775,-1.10472287 50.80154100,-1.10472175 50.80154147,-1.10472687 50.80155109,-1.10474561 50.80158979,-1.10475061 50.80159954,-1.10475245 50.80159950,-1.10477930 50.80165238,-1.10479293 50.80165745,-1.10485239 50.80164610,-1.10485715 50.80165607,-1.10492279 50.80164326,-1.10491773 50.80163317,-1.10503205 50.80161130,-1.10503407 50.80160980,-1.10502597 50.80159302,-1.10519088 50.80155970,-1.10519053 50.80155938,-1.10519313 50.80155902,-1.10525432 50.80154648,-1.10525906 50.80154599,-1.10536604 50.80152470,-1.10571147 50.80145595,-1.10571127 50.80145556,-1.10571379 50.80145504,-1.10577520 50.80144269,-1.10577757 50.80144219,-1.10577785 50.80144273,-1.10579493 50.80143918,-1.10579443 50.80143831,-1.10580665 50.80143605,-1.10580699 50.80143659,-1.10608451 50.80138143,-1.10629098 50.80133999,-1.10645534 50.80130699,-1.10640136 50.80116278,-1.10637723 50.80116745,-1.10637679 50.80116655,-1.10571576 50.80129762,-1.10571576 50.80129762)))",BLD-1065
"MULTIPOLYGON (((-1.10623924 50.80161959,-1.10625818 50.80161894,-1.10625918 50.80163467,-1.10627515 50.80163444,-1.10627532 50.80163879,-1.10626884 50.80163893,-1.10626902 50.80164423,-1.10627537 50.80164417,-1.10627603 50.80167182,-1.10627005 50.80167188,-1.10627022 50.80167737,-1.10627616 50.80167732,-1.10627681 50.80170462,-1.10627120 50.80170466,-1.10627128 50.80171046,-1.10627692 50.80171042,-1.10627704 50.80171673,-1.10626120 50.80171695,-1.10626157 50.80173528,-1.10627767 50.80173506,-1.10627792 50.80174234,-1.10625023 50.80174272,-1.10624806 50.80174276,-1.10624903 50.80176357,-1.10626796 50.80176313,-1.10626794 50.80177413,-1.10626770 50.80180390,-1.10626780 50.80180673,-1.10624668 50.80180704,-1.10624791 50.80186127,-1.10626267 50.80186113,-1.10626292 50.80187142,-1.10628016 50.80187124,-1.10628248 50.80187125,-1.10628315 50.80190105,-1.10627599 50.80190114,-1.10627604 50.80190908,-1.10628339 50.80190899,-1.10628416 50.80193392,-1.10627728 50.80193400,-1.10627727 50.80194186,-1.10628440 50.80194177,-1.10628517 50.80196664,-1.10627735 50.80196674,-1.10627769 50.80197500,-1.10629021 50.80197491,-1.10629021 50.80197122,-1.10632978 50.80197095,-1.10632984 50.80197446,-1.10634251 50.80197434,-1.10634247 50.80197086,-1.10638184 50.80197060,-1.10638189 50.80197377,-1.10639308 50.80197367,-1.10639334 50.80198063,-1.10640672 50.80198034,-1.10640656 50.80197043,-1.10643375 50.80197025,-1.10643380 50.80197357,-1.10644660 50.80197339,-1.10644641 50.80196482,-1.10643874 50.80196501,-1.10643791 50.80194045,-1.10644568 50.80194017,-1.10644547 50.80193209,-1.10643681 50.80193212,-1.10643579 50.80190740,-1.10644465 50.80190727,-1.10644447 50.80189907,-1.10643563 50.80189916,-1.10643494 50.80187437,-1.10644345 50.80187430,-1.10644335 50.80186635,-1.10643486 50.80186636,-1.10643396 50.80184134,-1.10644238 50.80184128,-1.10644213 50.80183334,-1.10643381 50.80183337,-1.10643288 50.80180847,-1.10644155 50.80180834,-1.10644116 50.80180033,-1.10643242 50.80180031,-1.10643180 50.80177561,-1.10644056 50.80177551,-1.10644031 50.80176746,-1.10643275 50.80176741,-1.10643234 50.80174271,-1.10643924 50.80174252,-1.10643873 50.80173433,-1.10643070 50.80173444,-1.10642950 50.80170961,-1.10643838 50.80170950,-1.10643822 50.80170135,-1.10642941 50.80170144,-1.10642872 50.80167668,-1.10643766 50.80167655,-1.10643747 50.80166847,-1.10642854 50.80166819,-1.10642734 50.80164370,-1.10643635 50.80164351,-1.10643613 50.80163561,-1.10642744 50.80163531,-1.10642641 50.80161055,-1.10643512 50.80161053,-1.10643510 50.80160258,-1.10642682 50.80160222,-1.10642554 50.80157787,-1.10643399 50.80157783,-1.10643384 50.80156960,-1.10642512 50.80156967,-1.10642433 50.80154487,-1.10643310 50.80154492,-1.10643292 50.80153668,-1.10642459 50.80153671,-1.10642407 50.80149156,-1.10626996 50.80152115,-1.10627135 50.80154194,-1.10627142 50.80154300,-1.10627188 50.80154984,-1.10626200 50.80154996,-1.10626037 50.80151393,-1.10611726 50.80154174,-1.10611721 50.80156300,-1.10609337 50.80156300,-1.10609382 50.80159810,-1.10609547 50.80172627,-1.10609729 50.80186687,-1.10623300 50.80186525,-1.10622997 50.80175889,-1.10622997 50.80175890,-1.10622828 50.80169954,-1.10624037 50.80169950,-1.10624039 50.80170036,-1.10626623 50.80170017,-1.10626438 50.80164163,-1.10623968 50.80164200,-1.10623924 50.80161959)))",BLD-1077
"MULTIPOLYGON (((-1.10448573 50.80185060,-1.10448614 50.80189637,-1.10450781 50.80189643,-1.10450844 50.80191139,-1.10437608 50.80191151,-1.10437632 50.80189733,-1.10414175 50.80189589,-1.10410021 50.80189767,-1.10409718 50.80189747,-1.10409451 50.80189676,-1.10409252 50.80189565,-1.10409119 50.80189430,-1.10409041 50.80189309,-1.10409025 50.80189215,-1.10409079 50.80187187,-1.10414229 50.80187070,-1.10414230 50.80187015,-1.10418930 50.80186991,-1.10418928 50.80186817,-1.10430870 50.80186863,-1.10430865 50.80185819,-1.10427499 50.80185839,-1.10427481 50.80184986,-1.10448573 50.80185060)))",BLD-1072
"MULTIPOLYGON (((-1.09230899 50.80605989,-1.09219843 50.80607793,-1.09226202 50.80623426,-1.09224883 50.80623641,-1.09224874 50.80623815,-1.09223512 50.80624042,-1.09219224 50.80613506,-1.09210970 50.80614830,-1.09215125 50.80625314,-1.09211962 50.80625812,-1.09234647 50.80682443,-1.09247303 50.80680375,-1.09247634 50.80680317,-1.09247676 50.80680400,-1.09251289 50.80679831,-1.09251318 50.80679754,-1.09257528 50.80678723,-1.09257583 50.80678786,-1.09286485 50.80674152,-1.09280085 50.80658256,-1.09282215 50.80657903,-1.09280862 50.80654621,-1.09278762 50.80654969,-1.09256135 50.80598767,-1.09256119 50.80598749,-1.09229709 50.80603063,-1.09230899 50.80605989)))",BLD-3187
"MULTIPOLYGON (((-1.09284746 50.80519222,-1.09284763 50.80519204,-1.09285164 50.80519148,-1.09294725 50.80543032,-1.09295770 50.80542863,-1.09295683 50.80542647,-1.09372182 50.80530351,-1.09371728 50.80529305,-1.09369491 50.80523684,-1.09384918 50.80521204,-1.09384248 50.80519532,-1.09383331 50.80517313,-1.09394905 50.80515444,-1.09406547 50.80513561,-1.09405737 50.80511468,-1.09413973 50.80510100,-1.09409600 50.80499170,-1.09421794 50.80497211,-1.09426020 50.80507601,-1.09425607 50.80507676,-1.09425907 50.80508537,-1.09434584 50.80507141,-1.09435072 50.80508172,-1.09437942 50.80507698,-1.09437491 50.80506624,-1.09444177 50.80505558,-1.09444220 50.80505594,-1.09447891 50.80505019,-1.09482286 50.80499506,-1.09482185 50.80499148,-1.09506716 50.80495202,-1.09502293 50.80484332,-1.09505939 50.80483759,-1.09520959 50.80481393,-1.09532150 50.80479593,-1.09530877 50.80476397,-1.09525702 50.80463419,-1.09525840 50.80463403,-1.09523779 50.80458258,-1.09523626 50.80458277,-1.09522104 50.80454349,-1.09522626 50.80454266,-1.09520571 50.80449090,-1.09521042 50.80449022,-1.09520404 50.80447399,-1.09518646 50.80447682,-1.09518265 50.80446756,-1.09522455 50.80446119,-1.09523908 50.80449819,-1.09552955 50.80445039,-1.09540223 50.80413975,-1.09511440 50.80418624,-1.09512679 50.80422381,-1.09508642 50.80423052,-1.09508343 50.80422311,-1.09510228 50.80421979,-1.09509616 50.80420405,-1.09509139 50.80420450,-1.09507048 50.80415285,-1.09506591 50.80415363,-1.09502114 50.80404261,-1.09396671 50.80421188,-1.09382473 50.80423467,-1.09254673 50.80443888,-1.09258976 50.80455038,-1.09258619 50.80455104,-1.09260478 50.80460292,-1.09264305 50.80469923,-1.09264457 50.80469915,-1.09266253 50.80474405,-1.09268192 50.80479256,-1.09268038 50.80479285,-1.09271886 50.80488929,-1.09272005 50.80488944,-1.09274119 50.80494070,-1.09274741 50.80494031,-1.09284746 50.80519222)))",BLD-3082
"MULTIPOLYGON (((-1.09201668 50.80415901,-1.09213196 50.80443790,-1.09217931 50.80455263,-1.09212047 50.80456238,-1.09215573 50.80464780,-1.09221457 50.80463804,-1.09225706 50.80474099,-1.09226418 50.80475827,-1.09236414 50.80474180,-1.09243689 50.80472981,-1.09240675 50.80465623,-1.09240490 50.80465649,-1.09240343 50.80465262,-1.09240495 50.80465221,-1.09234614 50.80450952,-1.09234527 50.80450972,-1.09234335 50.80450622,-1.09234475 50.80450603,-1.09231031 50.80442270,-1.09230820 50.80442304,-1.09230513 50.80441495,-1.09230701 50.80441467,-1.09228532 50.80436215,-1.09228309 50.80436271,-1.09228226 50.80435860,-1.09228360 50.80435818,-1.09222294 50.80421186,-1.09222067 50.80421225,-1.09221975 50.80420868,-1.09222156 50.80420835,-1.09218888 50.80413065,-1.09201668 50.80415901)))",BLD-3096
"MULTIPOLYGON (((-1.09661709 50.79919303,-1.09662102 50.79919273,-1.09663160 50.79919791,-1.09666515 50.79919535,-1.09667198 50.79923137,-1.09676205 50.79922450,-1.09676356 50.79923254,-1.09680778 50.79922917,-1.09680640 50.79922190,-1.09693698 50.79921186,-1.09694778 50.79926898,-1.09690843 50.79927212,-1.09692055 50.79933628,-1.09702024 50.79932868,-1.09702976 50.79933347,-1.09703023 50.79933591,-1.09705840 50.79933377,-1.09705794 50.79933132,-1.09706540 50.79932524,-1.09716540 50.79931761,-1.09715325 50.79925326,-1.09711137 50.79925643,-1.09709342 50.79916137,-1.09710610 50.79916040,-1.09710082 50.79913244,-1.09708825 50.79913337,-1.09707024 50.79903957,-1.09711189 50.79903641,-1.09709942 50.79897070,-1.09699955 50.79897832,-1.09699007 50.79897375,-1.09698960 50.79897130,-1.09696143 50.79897345,-1.09696189 50.79897590,-1.09695439 50.79898176,-1.09685482 50.79898935,-1.09686708 50.79905451,-1.09690728 50.79905146,-1.09691784 50.79910895,-1.09678690 50.79911861,-1.09678540 50.79911062,-1.09674118 50.79911398,-1.09674268 50.79912196,-1.09665252 50.79912880,-1.09665940 50.79916506,-1.09662586 50.79916762,-1.09661751 50.79917424,-1.09661358 50.79917454,-1.09661709 50.79919303)))",BLD-N0104
"MULTIPOLYGON (((-1.09587342 50.79931820,-1.09586855 50.79931856,-1.09586893 50.79932057,-1.09582534 50.79932385,-1.09582497 50.79932184,-1.09582010 50.79932220,-1.09583149 50.79938302,-1.09583635 50.79938265,-1.09583597 50.79938064,-1.09587956 50.79937737,-1.09587994 50.79937938,-1.09588480 50.79937901,-1.09587342 50.79931820)))",BLD-N0094
"MULTIPOLYGON (((-1.09610969 50.79915833,-1.09614765 50.79937515,-1.09604125 50.79938338,-1.09604090 50.79938159,-1.09602819 50.79938258,-1.09602853 50.79938436,-1.09598044 50.79938808,-1.09597528 50.79936126,-1.09593875 50.79917161,-1.09601292 50.79916588,-1.09601330 50.79916766,-1.09603245 50.79916618,-1.09603208 50.79916439,-1.09610969 50.79915833)))",BLD-N0095
"MULTIPOLYGON (((-1.09669090 50.79941346,-1.09668104 50.79936045,-1.09658249 50.79936796,-1.09657378 50.79931989,-1.09648924 50.79932640,-1.09647640 50.79926503,-1.09644686 50.79926771,-1.09645961 50.79932867,-1.09637543 50.79933517,-1.09638896 50.79940759,-1.09632430 50.79941244,-1.09632261 50.79940247,-1.09623875 50.79940883,-1.09626273 50.79953048,-1.09628044 50.79952900,-1.09628906 50.79957035,-1.09628442 50.79957070,-1.09628462 50.79957172,-1.09628138 50.79957197,-1.09628221 50.79957643,-1.09627742 50.79957679,-1.09628221 50.79960233,-1.09628700 50.79960197,-1.09628784 50.79960643,-1.09629108 50.79960619,-1.09629127 50.79960722,-1.09629591 50.79960687,-1.09630088 50.79963337,-1.09652053 50.79961668,-1.09652456 50.79963802,-1.09646527 50.79964253,-1.09646985 50.79966730,-1.09647844 50.79966665,-1.09647825 50.79966564,-1.09652838 50.79966183,-1.09653124 50.79967692,-1.09655127 50.79967540,-1.09655159 50.79967707,-1.09658720 50.79967436,-1.09659847 50.79967351,-1.09659815 50.79967184,-1.09661809 50.79967033,-1.09661533 50.79965523,-1.09666547 50.79965142,-1.09666566 50.79965243,-1.09667425 50.79965177,-1.09667108 50.79962723,-1.09661162 50.79963138,-1.09660744 50.79961008,-1.09682583 50.79959349,-1.09682077 50.79956699,-1.09682541 50.79956664,-1.09682522 50.79956561,-1.09682846 50.79956536,-1.09682760 50.79956090,-1.09683239 50.79956053,-1.09682752 50.79953500,-1.09682273 50.79953537,-1.09682188 50.79953090,-1.09681864 50.79953115,-1.09681844 50.79953013,-1.09681380 50.79953048,-1.09680850 50.79950271,-1.09686840 50.79949812,-1.09686492 50.79947990,-1.09680503 50.79948449,-1.09680405 50.79947936,-1.09670508 50.79948711,-1.09670155 50.79946898,-1.09677449 50.79946328,-1.09676424 50.79941066,-1.09678709 50.79940887,-1.09677874 50.79936602,-1.09672357 50.79937034,-1.09673135 50.79941029,-1.09669090 50.79941346,-1.09669090 50.79941346)))",BLD-N0092
"MULTIPOLYGON (((-1.09586384 50.79958032,-1.09593770 50.79957476,-1.09594279 50.79960189,-1.09592753 50.79961423,-1.09594693 50.79962396,-1.09595199 50.79965096,-1.09587829 50.79965657,-1.09589092 50.79972321,-1.09601477 50.79971381,-1.09603751 50.79972945,-1.09607055 50.79972750,-1.09608664 50.79970832,-1.09620949 50.79969897,-1.09619676 50.79963230,-1.09612316 50.79963794,-1.09611801 50.79961097,-1.09613323 50.79959860,-1.09611380 50.79958889,-1.09610861 50.79956164,-1.09618377 50.79955593,-1.09618329 50.79955344,-1.09628404 50.79954622,-1.09628044 50.79952900,-1.09626273 50.79953048,-1.09624595 50.79944535,-1.09614746 50.79945346,-1.09615414 50.79948951,-1.09605318 50.79949711,-1.09604559 50.79945517,-1.09599372 50.79945908,-1.09597528 50.79936126,-1.09596875 50.79936177,-1.09596842 50.79936002,-1.09594687 50.79936168,-1.09596548 50.79946120,-1.09595915 50.79946168,-1.09596731 50.79950518,-1.09585126 50.79951392,-1.09586384 50.79958032)))",BLD-N0093
"MULTIPOLYGON (((-1.09692774 50.79957737,-1.09700206 50.79957168,-1.09699683 50.79954432,-1.09697741 50.79953461,-1.09699262 50.79952224,-1.09698746 50.79949522,-1.09691315 50.79950091,-1.09691206 50.79949520,-1.09686840 50.79949812,-1.09685820 50.79944472,-1.09685658 50.79944485,-1.09685556 50.79943949,-1.09690077 50.79943602,-1.09690053 50.79943477,-1.09701683 50.79942586,-1.09700849 50.79938215,-1.09703859 50.79937984,-1.09703025 50.79933591,-1.09705840 50.79933377,-1.09706682 50.79937768,-1.09709441 50.79937557,-1.09710275 50.79941928,-1.09721933 50.79941034,-1.09723195 50.79947648,-1.09715764 50.79948218,-1.09716279 50.79950920,-1.09718222 50.79951891,-1.09716701 50.79953127,-1.09717223 50.79955864,-1.09724654 50.79955294,-1.09725922 50.79961939,-1.09713122 50.79962921,-1.09711827 50.79964977,-1.09708521 50.79965246,-1.09706101 50.79963459,-1.09694043 50.79964383,-1.09692774 50.79957737)))",BLD-N0091
"MULTIPOLYGON (((-1.09766579 50.79935354,-1.09760842 50.79944179,-1.09751659 50.79941786,-1.09757381 50.79932952,-1.09766579 50.79935354)))",BLD-N0102
"MULTIPOLYGON (((-1.09751427 50.79942436,-1.09759548 50.79944530,-1.09754569 50.79952169,-1.09754790 50.79952218,-1.09754537 50.79952609,-1.09754282 50.79952550,-1.09754164 50.79952754,-1.09753874 50.79952692,-1.09753557 50.79953240,-1.09745713 50.79951219,-1.09751427 50.79942436)))",BLD-N0107
"MULTIPOLYGON (((-1.09751209 50.79956389,-1.09742856 50.79954261,-1.09744960 50.79950939,-1.09745762 50.79951141,-1.09745713 50.79951219,-1.09753222 50.79953154,-1.09751209 50.79956389)))",BLD-N0099
"MULTIPOLYGON (((-1.09449736 50.80217136,-1.09455246 50.80214800,-1.09462390 50.80221675,-1.09463432 50.80221241,-1.09464319 50.80222112,-1.09466642 50.80221188,-1.09467863 50.80222368,-1.09465529 50.80223299,-1.09471195 50.80228858,-1.09466306 50.80230913,-1.09467601 50.80232182,-1.09461729 50.80234667,-1.09460403 50.80233393,-1.09456728 50.80234872,-1.09449827 50.80228083,-1.09448126 50.80228719,-1.09445940 50.80228430,-1.09443512 50.80226059,-1.09441452 50.80226959,-1.09437576 50.80223247,-1.09439688 50.80222324,-1.09438401 50.80221998,-1.09434873 50.80218646,-1.09435028 50.80217847,-1.09434436 50.80217284,-1.09445046 50.80212810,-1.09449736 50.80217136)))",BLD-3004
"MULTIPOLYGON (((-1.09433266 50.80236236,-1.09436878 50.80234761,-1.09431000 50.80229186,-1.09427394 50.80230659,-1.09433266 50.80236236)))",BLD-3007
"MULTIPOLYGON (((-1.09449736 50.80217136,-1.09452607 50.80215919,-1.09450765 50.80214167,-1.09455352 50.80212233,-1.09441967 50.80199607,-1.09435310 50.80193282,-1.09434223 50.80193729,-1.09428494 50.80196086,-1.09429663 50.80197181,-1.09428670 50.80197578,-1.09449736 50.80217136)))",BLD-N0073
"MULTIPOLYGON (((-1.09434223 50.80193729,-1.09427816 50.80187471,-1.09426959 50.80187800,-1.09422784 50.80183716,-1.09421274 50.80184271,-1.09416171 50.80179280,-1.09412621 50.80180777,-1.09428494 50.80196086,-1.09434223 50.80193729)))",BLD-N0074
"MULTIPOLYGON (((-1.09394079 50.80135073,-1.09400029 50.80132586,-1.09400620 50.80132341,-1.09401231 50.80131094,-1.09400694 50.80130516,-1.09407864 50.80127589,-1.09408751 50.80128203,-1.09409877 50.80128375,-1.09413935 50.80126795,-1.09415659 50.80128537,-1.09420968 50.80126344,-1.09426300 50.80131501,-1.09431122 50.80129499,-1.09432691 50.80131016,-1.09432425 50.80131129,-1.09434004 50.80132656,-1.09434270 50.80132543,-1.09436496 50.80134695,-1.09436229 50.80134808,-1.09437809 50.80136335,-1.09438075 50.80136222,-1.09440441 50.80138510,-1.09440174 50.80138622,-1.09441747 50.80140144,-1.09442014 50.80140032,-1.09444226 50.80142171,-1.09443959 50.80142282,-1.09445537 50.80143809,-1.09445804 50.80143697,-1.09448028 50.80145848,-1.09447761 50.80145959,-1.09449333 50.80147479,-1.09449600 50.80147368,-1.09451729 50.80149427,-1.09451570 50.80149494,-1.09453333 50.80151199,-1.09453493 50.80151132,-1.09455624 50.80153193,-1.09455343 50.80153310,-1.09456945 50.80154860,-1.09457226 50.80154742,-1.09459440 50.80156884,-1.09459169 50.80156997,-1.09460753 50.80158529,-1.09461024 50.80158416,-1.09462596 50.80159935,-1.09458784 50.80161530,-1.09461080 50.80163733,-1.09461465 50.80163590,-1.09464387 50.80166514,-1.09464291 50.80166767,-1.09462349 50.80167607,-1.09464579 50.80169676,-1.09460140 50.80171519,-1.09460275 50.80171649,-1.09456488 50.80173151,-1.09456112 50.80174208,-1.09456768 50.80174853,-1.09449583 50.80177874,-1.09448847 50.80177223,-1.09447834 50.80177106,-1.09439512 50.80180474,-1.09439284 50.80181209,-1.09439963 50.80181859,-1.09432729 50.80184891,-1.09431906 50.80184102,-1.09430120 50.80183777,-1.09426601 50.80185243,-1.09424631 50.80183343,-1.09424912 50.80183227,-1.09423673 50.80182031,-1.09423392 50.80182148,-1.09419092 50.80178002,-1.09418770 50.80178135,-1.09415668 50.80177766,-1.09413591 50.80175763,-1.09414304 50.80173807,-1.09414661 50.80173659,-1.09413646 50.80172680,-1.09413920 50.80172567,-1.09412671 50.80171362,-1.09412397 50.80171475,-1.09411389 50.80170504,-1.09411508 50.80170455,-1.09402913 50.80162192,-1.09399128 50.80163816,-1.09400403 50.80165078,-1.09397228 50.80166405,-1.09395930 50.80165091,-1.09394957 50.80165477,-1.09394099 50.80164685,-1.09393832 50.80164801,-1.09387648 50.80158980,-1.09387388 50.80159091,-1.09386915 50.80158614,-1.09387155 50.80158521,-1.09380746 50.80152308,-1.09384047 50.80150934,-1.09388272 50.80154892,-1.09393109 50.80152877,-1.09392554 50.80152413,-1.09392233 50.80152547,-1.09389130 50.80152180,-1.09387053 50.80150177,-1.09387752 50.80148226,-1.09388073 50.80148093,-1.09386636 50.80146707,-1.09386921 50.80146588,-1.09385671 50.80145384,-1.09385386 50.80145502,-1.09383778 50.80143951,-1.09380620 50.80140749,-1.09384315 50.80139211,-1.09384774 50.80138029,-1.09384055 50.80137463,-1.09391064 50.80134548,-1.09391612 50.80135174,-1.09393293 50.80135417,-1.09394079 50.80135073)))",BLD-N0079
"MULTIPOLYGON (((-1.09820585 50.80049421,-1.09848022 50.80050372,-1.09846692 50.80065044,-1.09752738 50.80061786,-1.09753489 50.80053502,-1.09751283 50.80053421,-1.09751020 50.80056814,-1.09745827 50.80056652,-1.09746209 50.80051727,-1.09751402 50.80051889,-1.09753629 50.80051958,-1.09754068 50.80047114,-1.09789856 50.80048355,-1.09790881 50.80036739,-1.09815992 50.80037638,-1.09816233 50.80034937,-1.09820214 50.80035098,-1.09819991 50.80037649,-1.09848505 50.80038647,-1.09847644 50.80048520,-1.09819128 50.80047522,-1.09819109 50.80047748,-1.09820724 50.80047805,-1.09820585 50.80049421,-1.09820585 50.80049421)))",BLD-N0002
"MULTIPOLYGON (((-1.09339462 50.80292835,-1.09340002 50.80292601,-1.09332097 50.80284994,-1.09331555 50.80285220,-1.09339462 50.80292835)))",BLD-3001
"MULTIPOLYGON (((-1.09705190 50.80225910,-1.09712271 50.80224578,-1.09711441 50.80222763,-1.09704328 50.80224070,-1.09705190 50.80225910)))",BLD-N0047
"MULTIPOLYGON (((-1.10904425 50.80079587,-1.10843481 50.80091648,-1.10836542 50.80077374,-1.10837533 50.80077175,-1.10837551 50.80077248,-1.10844168 50.80075959,-1.10844130 50.80075877,-1.10897493 50.80065349,-1.10897404 50.80065175,-1.10897352 50.80064998,-1.10897415 50.80064802,-1.10897576 50.80064634,-1.10897770 50.80064576,-1.10922262 50.80059795,-1.10924644 50.80064697,-1.10924808 50.80064659,-1.10927616 50.80070420,-1.10927466 50.80070447,-1.10929840 50.80075348,-1.10912375 50.80078798,-1.10904814 50.80080327,-1.10904425 50.80079587)))",BLD-1065A
"MULTIPOLYGON (((-1.10572817 50.80195795,-1.10571919 50.80194414,-1.10569740 50.80194984,-1.10570639 50.80196364,-1.10572817 50.80195795)))",BLD-1119
"MULTIPOLYGON (((-1.09926667 50.80261238,-1.09915740 50.80282774,-1.09949922 50.80289696,-1.09960848 50.80268168,-1.09926667 50.80261238,-1.09926667 50.80261238)))",BLD-2291
"MULTIPOLYGON (((-1.10514893 50.80232999,-1.10510242 50.80233013,-1.10510185 50.80226953,-1.10514944 50.80226928,-1.10514893 50.80232999)))",BLD-1124A
"MULTIPOLYGON (((-1.09429420 50.80271744,-1.09433735 50.80269729,-1.09433575 50.80269565,-1.09433321 50.80269679,-1.09433156 50.80269518,-1.09433405 50.80269410,-1.09433229 50.80269243,-1.09432976 50.80269349,-1.09429001 50.80265568,-1.09424852 50.80267340,-1.09429420 50.80271744)))",BLD-3001A
"MULTIPOLYGON (((-1.10124381 50.80319905,-1.10124576 50.80321777,-1.10124253 50.80321809,-1.10124343 50.80322528,-1.10124662 50.80322540,-1.10124931 50.80325101,-1.10124626 50.80325115,-1.10124682 50.80325858,-1.10125018 50.80325861,-1.10125299 50.80328424,-1.10124975 50.80328462,-1.10125051 50.80329172,-1.10125380 50.80329185,-1.10125655 50.80331749,-1.10125317 50.80331757,-1.10125371 50.80332512,-1.10125731 50.80332510,-1.10125973 50.80335051,-1.10125669 50.80335076,-1.10125740 50.80335826,-1.10126085 50.80335827,-1.10126361 50.80338366,-1.10126026 50.80338391,-1.10126106 50.80339146,-1.10126436 50.80339142,-1.10126721 50.80341685,-1.10126417 50.80341711,-1.10126509 50.80342506,-1.10126793 50.80342494,-1.10127099 50.80345084,-1.10126900 50.80345089,-1.10126978 50.80345716,-1.10162936 50.80344175,-1.10162875 50.80343578,-1.10162548 50.80343592,-1.10162248 50.80340774,-1.10162557 50.80340750,-1.10162500 50.80340163,-1.10162184 50.80340176,-1.10161891 50.80337429,-1.10162205 50.80337441,-1.10162128 50.80336840,-1.10161829 50.80336853,-1.10161539 50.80334124,-1.10161849 50.80334127,-1.10161788 50.80333535,-1.10161477 50.80333548,-1.10161184 50.80330800,-1.10161487 50.80330803,-1.10161426 50.80330196,-1.10161121 50.80330209,-1.10160832 50.80327501,-1.10161131 50.80327493,-1.10161066 50.80326875,-1.10160767 50.80326888,-1.10160476 50.80324161,-1.10160776 50.80324155,-1.10160731 50.80323555,-1.10160401 50.80323559,-1.10160319 50.80322730,-1.10160503 50.80322711,-1.10160456 50.80322158,-1.10160039 50.80318361,-1.10159832 50.80318386,-1.10124381 50.80319905,-1.10124381 50.80319905)))",BLD-2025
"MULTIPOLYGON (((-1.11031155 50.80081131,-1.11036096 50.80079241,-1.11022263 50.80064718,-1.11017323 50.80066608,-1.11031155 50.80081131)))",BLD-1051A
"MULTIPOLYGON (((-1.11063756 50.80030247,-1.11049331 50.80014763,-1.11048937 50.80014910,-1.11041616 50.80007072,-1.11041996 50.80006900,-1.11023150 50.79986575,-1.11024255 50.79986164,-1.11024445 50.79986318,-1.11042302 50.79979508,-1.11061127 50.79999658,-1.11061521 50.79999490,-1.11068891 50.80007371,-1.11068811 50.80007383,-1.11068445 50.80007527,-1.11078090 50.80017827,-1.11080802 50.80016747,-1.11082478 50.80018565,-1.11079787 50.80019638,-1.11082972 50.80023039,-1.11063756 50.80030247,-1.11063756 50.80030247)))",BLD-1049
"MULTIPOLYGON (((-1.10566553 50.80116206,-1.10560908 50.80104903,-1.10554589 50.80106124,-1.10560291 50.80117422,-1.10566553 50.80116206)))",BLD-1064A
